이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
오세아,female,010-3632-4784,27,56,49,163,2018년 02월 18일,2018년 02월 18일,아니오,월 2회,0개월,예
정서연,여,01063645747,34,57kg,49kg,168,2018년 01월 26일,2018년 01월 26일,예,월 2회,0개월,아니요
최유준,남성,unknown,35세,81,72,174,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,0개월,아니요
장소정,여성,010-5293-8462,31,63,61,168cm,2018년 01월 25일,2018년 01월 25일,아니오,안 마심,0개월,아니요
조주훈,남성,010-2366-9856,25,79,76,176,2018년 02월 06일,2018년 02월 06일,아니오,월 2회,12개월,아니요
박성민,남,010-8353-1251,34,76,75,180,2018년 01월 29일,2018년 01월 29일,아니오,안 마심,12개월,아니요
조한성,남,unknown,,81,80,178,2018년 01월 24일,2018년 01월 24일,아니오,월 1회,6개월,아니요
송서연,여성,010-1646-5636,38세,58,49,154cm,2018년 01월 28일,2018년 01월 28일,아니오,주 1회,0개월,아니요
손서연,female,unknown,28 세,55,46,164,2018년 01월 08일,2018년 01월 08일,아니오,월 1회,0개월,아니요
송유준,남,unknown,39,77,69,176,2018년 01월 09일,2018년 01월 09일,아니오,주 1회,0개월,아니요
배초연,여성,010-9564-2522,37,55,50,168,2018년 02월 09일,2018년 03월 22일,아니오,월 1회,6개월,아니요
김채유,여성,01098797499,33,60,57,167,2018년 01월 07일,2018년 01월 07일,아니오,월 1회,6개월,아니요
전성아,여성,01082924626,31,63,62,170,2018년 01월 19일,2018년 01월 19일,아니오,주 1회,0개월,아니요
조은진,남,010-9944-9337,36,0,0,168,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,6개월,아니요
정시우,남성,010-2174-9529,37,76kg,73kg,0,2018년 01월 20일,2018년 01월 24일,아니오,안 마심,3개월,아니요
박솔은,여성,010-3479-2162,25 세,64 kg,57 kg,171,2018년 01월 28일,2018년 01월 28일,예,월 1회,0개월,아니요
문채정,여성,010-3866-2867,,55,53,163cm,2018년 01월 11일,2018년 01월 11일,아니오,월 2회,0개월,아니요
문세민,여성,010-2279-3442,39,63,59,161,2018년 01월 23일,2018년 01월 23일,아니오,주 1회,3개월,아니요
전선정,female,010-3954-1251,31,57,50,0,2018년 02월 11일,2018년 02월 11일,아니오,월 1회,0개월,아니요
강영준,남성,010-3254-6425,36,80,70,164 cm,2018년 01월 15일,2018년 01월 15일,아니오,주 1회,0개월,예
장지민,여성,010-6897-2819,36,61,60,173 cm,2018년 01월 14일,2018년 03월 15일,아니오,주 2회,0개월,아니요
고성은,여성,unknown,32,61,60,164,2018년 02월 22일,2018년 03월 01일,아니오,주 1회,0개월,아니요
백승윤,여성,unknown,33,57,48,166,2018년 02월 03일,2018년 02월 03일,아니오,월 2회,3개월,아니요
류민종,남,010-5989-2583,89,78 kg,74 kg,169,2018년 02월 25일,2018년 02월 25일,아니오,주 1회,12개월,아니요
윤수이,여성,010-2757-9758,31,61,54,164,2018년 01월 02일,2018년 01월 02일,예,주 1회,0개월,아니요
황예준,남성,01024738245,43,80,73,0,2018년 01월 24일,2018년 02월 19일,아니오,월 1회,0개월,아니요
류연호,남성,010-4143-3422,39,78,69,176,2018년 01월 25일,2018년 01월 25일,아니오,월 2회,12개월,예
고원준,남성,010-5625-3188,41,79,72,166,2018년 02월 20일,2018년 02월 20일,예,월 2회,3개월,아니요
정장우,남성,010-5138-3218,,83,80,165,2018년 01월 04일,2018년 01월 04일,아니오,월 2회,0개월,아니요
장윤 채,남성,010-1723-8463,28,78,71,174,2018년 01월 09일,2018년 01월 09일,아니오,월 2회,0개월,예
권동연,남성,unknown,38,85,75,177,2018년 02월 10일,2018년 02월 10일,아니오,월 2회,0개월,예
안장우,남성,01089939287,41 세,76,67,178,2018년 01월 29일,2018년 01월 29일,아니오,월 2회,0개월,아니요
한도훈,남,01031592778,33,79,75,176,2018년 02월 27일,2018년 03월 10일,아니오,월 2회,3개월,아니요
김이준,남성,010-7514-9832,35,81,78,171,2018년 01월 18일,2018년 01월 18일,예,주 1회,3개월,아니요
장준아,남,010-1537-6932,40,84,77,170,2018년 02월 26일,2018년 04월 26일,아니오,주 1회,0개월,예
조슬아,Female,unknown,26,59,54,169,2018년 02월 05일,2018년 02월 05일,예,월 2회,0개월,아니요
홍동혜,남성,01098472341,,82,78,232,2018년 02월 09일,2018년 04월 18일,아니오,월 1회,0개월,아니요
류서희,여성,010-3489-6792,,56,50,174,2018년 01월 02일,2018년 04월 10일,아니오,주 1회,0개월,아니요
황초빈,female,unknown,31세,55 kg,54 kg,167,2018년 01월 27일,2018년 01월 27일,아니오,월 2회,3개월,아니요
황동후,남,unknown,31,79,69,176,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,3개월,아니요
배성수,남성,010-6443-5577,,79,72,177cm,2018년 01월 14일,2018년 01월 14일,아니오,주 1회,0개월,예
배세준,남,010-3841-6496,26,82,81,168,2018년 01월 09일,2018년 03월 15일,아니오,주 1회,0개월,예
강효성,남성,unknown,37,84,74,180,2018년 01월 08일,2018년 04월 08일,예,월 2회,0개월,아니요
임윤일,남성,01056266226,40,79kg,75kg,169,2018년 01월 03일,2018년 01월 03일,예,주 1회,0개월,아니요
오채슬,여,010-2451-2489,41,58,52,0,2018년 01월 31일,2018년 01월 31일,아니오,주 2회,0개월,아니요
장성민,남성,010-2635-4969,29,0,0,178,2018년 02월 04일,2018년 02월 20일,아니오,월 2회,0개월,아니요
조시준,Male,010-4945-9518,,75kg,74kg,179,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,0개월,아니요
정지연,여성,01056765154,25,61,56,164 cm,2018년 02월 23일,2018년 02월 23일,예,안 마심,3개월,아니요
손수훈,남성,01044385339,27,77,67,179,2018년 01월 14일,2018년 01월 14일,예,주 1회,6개월,아니요
오승혜,female,010-5252-2975,35,57,51,177,2018년 02월 09일,2018년 02월 09일,아니오,월 2회,6개월,아니요
박성윤,male,01018582498,37,78,71,171,2018년 02월 19일,2018년 02월 19일,아니오,주 1회,3개월,아니요
장장현,Male,010-4543-9337,38,0,0,176,2018년 01월 16일,2018년 01월 16일,아니오,주 1회,0개월,아니요
송태은,남,01097285942,41,80,74,175,2018년 02월 26일,2018년 03월 16일,아니오,주 1회,6개월,아니요
안승엽,남,010-1519-9338,38,81,80,172,2018년 02월 26일,2018년 02월 26일,아니오,월 2회,3개월,아니요
강연호,Male,010-4644-6272,32,83,81,175,2018년 02월 07일,2018년 02월 07일,아니오,월 2회,0개월,아니요
류선후,남성,unknown,39,85,83,175,2018년 02월 06일,2018년 02월 06일,예,월 1회,12개월,아니요
백설영,여성,01053177669,34,57,53,0,2018년 01월 13일,2018년 01월 13일,아니오,주 2회,3개월,아니요
조솔희,female,010-6882-9697,23,58,56,162,2018년 01월 17일,2018년 01월 17일,아니오,월 2회,0개월,아니요
고은률,남,unknown,40,79,72,176cm,2018년 01월 21일,2018년 01월 21일,아니오,주 2회,6개월,아니요
황세연,female,010-1615-6666,34 세,61,60,0,2018년 02월 20일,2018년 02월 20일,아니오,월 1회,0개월,아니요
전장우,남성,010-9786-8383,44 세,81 kg,71 kg,176,2018년 01월 15일,2018년 02월 14일,아니오,안 마심,3개월,아니요
조주훈,남성,010-8166-6959,36,76kg,68kg,173,2018년 01월 08일,2018년 01월 08일,아니오,월 1회,0개월,아니요
백유현,남,010-1444-2454,37,79,70,177,2018년 02월 08일,2018년 04월 19일,아니오,월 2회,0개월,아니요
최재영,남성,010-7915-1748,97,81,75,178,2018년 02월 17일,2018년 02월 17일,아니오,월 1회,0개월,아니요
송선아,여,010-4181-9262,25,60,57,0,2018년 02월 18일,2018년 02월 18일,아니오,월 2회,0개월,아니요
신장훈,male,010-4676-7775,31세,78,72,0,2018년 02월 12일,2018년 02월 12일,예,월 2회,0개월,아니요
안채설,여성,010-6952-4516,28,0,0,167cm,2018년 01월 20일,2018년 01월 20일,아니오,월 2회,0개월,아니요
백지은,여,010-2547-1393,29,57,50,169,2018년 01월 08일,2018년 01월 08일,아니오,안 마심,3개월,아니요
최장우,남성,010-2484-5962,37 세,77 kg,74 kg,174,2018년 02월 22일,2018년 02월 22일,예,월 1회,0개월,아니요
최승혜,여성,unknown,31,58,49,171,2018년 01월 10일,2018년 01월 10일,아니오,월 1회,0개월,아니요
서인규,male,010-2757-2542,32,77,76,177,2018년 02월 14일,2018년 02월 14일,아니오,월 2회,0개월,아니요
류윤찬,남,01017897838,33,75,68,169 cm,2018년 02월 13일,2018년 02월 13일,아니오,월 2회,0개월,아니요
양동환,남,010-8561-2673,39,80,73,173,2018년 01월 29일,2018년 01월 29일,아니오,주 1회,0개월,아니요
배민규,남,010-5373-6932,,83,74,179,2018년 01월 20일,2018년 01월 20일,아니오,월 1회,12개월,예
조은교,남,01027489632,,76,71,174,2018년 02월 13일,2018년 02월 13일,아니오,주 1회,0개월,아니요
안수희,여성,010-5745-2492,113,62,59,167,2018년 01월 11일,2018년 01월 11일,예,월 2회,0개월,아니요
백솔아,여,01067373864,34,58,51,166,2018년 01월 09일,2018년 01월 09일,아니오,월 2회,0개월,아니요
송유준,남성,010-6125-8256,30,71,68,176,2018년 02월 15일,2018년 02월 15일,아니오,월 2회,0개월,아니요
윤효성,남성,01024549126,35,81kg,73kg,166,2018년 02월 26일,2018년 02월 26일,아니오,월 1회,6개월,아니요
강승우,남,010-8318-8453,32,79,71,179,2018년 01월 03일,2018년 03월 02일,아니오,월 2회,0개월,아니요
임성준,남성,010-4853-1738,38,78,73,176,2018년 01월 20일,2018년 01월 20일,아니오,주 1회,3개월,아니요
전승혁,남성,01072354788,35,81,79,167,2018년 02월 26일,2018년 02월 26일,아니오,월 1회,3개월,아니요
문준후,남성,010-2557-2479,27,82 kg,76 kg,181,2018년 02월 22일,2018년 02월 22일,아니오,주 2회,0개월,아니요
양윤진,남성,010-6218-7362,29,79,74,115,2018년 02월 17일,2018년 02월 17일,아니오,주 1회,3개월,아니요
조승이,여성,unknown,31,58 kg,54 kg,171,2018년 02월 12일,2018년 02월 12일,아니오,주 2회,0개월,아니요
한준영,남성,010-2678-7511,42,80,76,182,2018년 01월 19일,2018년 01월 19일,예,주 1회,0개월,아니요
최선후,남,01079857848,33,81,72,0,2018년 02월 24일,2018년 02월 24일,아니오,주 1회,0개월,아니요
조연후,남성,unknown,38세,79,73,186 cm,2018년 02월 13일,2018년 02월 13일,아니오,주 2회,6개월,아니요
오도훈,남성,010-2821-7432,37,85kg,80kg,175,2018년 02월 04일,2018년 02월 04일,아니오,월 2회,0개월,아니요
송소율,여,01094324261,37,58,48,163,2018년 02월 27일,2018년 02월 27일,예,안 마심,0개월,아니요
정수민,여,01071916786,24,61,57,173,2018년 02월 13일,2018년 02월 13일,아니오,주 1회,3개월,예
최설아,여,01052687729,,61 kg,58 kg,165,2018년 02월 22일,2018년 02월 22일,아니오,주 1회,3개월,아니요
김채민,여,unknown,29,61 kg,59 kg,170,2018년 01월 22일,2018년 01월 22일,아니오,월 1회,3개월,아니요
최주호,남,01066361528,7,76,74,207,2018년 01월 13일,2018년 01월 13일,아니오,월 2회,3개월,예
유연재,남성,010-4527-3185,37,81,73,175,2018년 02월 19일,2018년 02월 19일,예,월 2회,0개월,아니요
황대규,Male,010-5283-6681,26,83,73,173,2018년 02월 11일,2018년 02월 11일,아니오,주 1회,0개월,아니요
고주빈,남,010-3885-5822,32,0,0,170,2018년 01월 11일,2018년 04월 09일,아니오,월 2회,0개월,아니요
최승혁,남성,010-2393-1882,32,74,71,174,2018년 02월 13일,2018년 02월 13일,아니오,주 1회,3개월,아니요
김도윤,남성,010-4983-1542,38세,83,75,0,2018년 02월 15일,2018년 03월 04일,아니오,주 1회,3개월,아니요
오지수,여성,01091472249,27,0,0,165,2018년 01월 09일,2018년 01월 09일,예,월 2회,0개월,아니요
안 시민,남,010-2286-4115,37,76 kg,66 kg,0,2018년 01월 21일,2018년 01월 21일,아니오,월 2회,0개월,아니요
윤서환,남성,010-3479-2317,31,75,69,130,2018년 02월 04일,2018년 03월 03일,아니오,월 1회,0개월,아니요
한슬희,여,010-9749-4851,32,55,52,168,2018년 01월 01일,2018년 01월 01일,아니오,월 1회,0개월,아니요
조진호,남성,010-9344-8951,29,76,69,166,2018년 01월 19일,2018년 01월 19일,아니오,월 1회,0개월,아니요
고윤수,male,010-3887-2775,28,82,72,179,2018년 02월 09일,2018년 02월 09일,아니오,안 마심,0개월,예
조주원,남,010-2928-8924,40,78,77,175,2018년 02월 20일,2018년 04월 25일,아니오,주 1회,3개월,아니요
양원호,Male,010-4855-9356,30,74,68,175,2018년 01월 25일,2018년 01월 25일,아니오,월 2회,0개월,예
최은우,남,01042181943,34,80,78,178,2018년 01월 06일,2018년 01월 06일,아니오,월 2회,3개월,아니요
류송후,남성,01058385497,30,79,78,166,2018년 01월 03일,2018년 03월 09일,아니오,안 마심,0개월,아니요
정성재,Male,unknown,34,79,76,177cm,2018년 01월 27일,2018년 01월 27일,아니오,월 1회,6개월,아니요
배준후,남성,010-9478-9284,37,75kg,68kg,169,2018년 02월 20일,2018년 05월 13일,아니오,안 마심,3개월,아니요
안은후,Male,unknown,33세,77,75,172 cm,2018년 02월 04일,2018년 02월 04일,예,주 1회,0개월,아니요
유원준,남,010-8446-7717,38,76kg,69kg,169,2018년 01월 17일,2018년 03월 12일,아니오,주 2회,0개월,아니요
윤은률,남,010-5311-3754,35,80,78,175,2018년 01월 01일,2018년 01월 01일,아니오,주 1회,0개월,아니요
한지연,여성,010-8537-8931,21,55,48,163,2018년 01월 10일,2018년 01월 10일,예,월 2회,0개월,아니요
조성우,남성,010-1974-4422,33,81 kg,74 kg,0,2018년 02월 03일,2018년 02월 03일,예,월 1회,6개월,아니요
조찬 율,male,01042276796,33,82 kg,76 kg,178,2018년 01월 05일,2018년 01월 05일,아니오,주 2회,6개월,아니요
고채안,여성,010-5321-8876,33,58,48,170,2018년 01월 12일,2018년 02월 05일,아니오,월 1회,6개월,아니요
전솔은,female,010-3142-8398,25,61,57,167,2018년 02월 11일,2018년 04월 19일,아니오,월 2회,6개월,아니요
임영준,남성,010-7665-4586,40,79,70,244,2018년 02월 02일,2018년 04월 16일,아니오,월 1회,0개월,아니요
허다훈,male,010-3634-6684,35,81,71,169 cm,2018년 02월 04일,2018년 02월 04일,아니오,월 2회,3개월,아니요
송재준,남,01086677458,,77,73,169,2018년 01월 21일,2018년 01월 21일,아니오,안 마심,12개월,아니요
한윤찬,남성,010-1948-3916,,86kg,80kg,179,2018년 02월 17일,2018년 02월 17일,예,월 1회,0개월,아니요
백찬혁,남,010-3647-9135,34,82,73,0,2018년 02월 21일,2018년 02월 21일,아니오,주 1회,0개월,아니요
허수한,남성,010-8494-3976,37,78 kg,75 kg,174cm,2018년 01월 28일,2018년 01월 28일,아니오,월 1회,0개월,아니요
장슬빈,여성,010-7675-1339,34,62,54,163cm,2018년 02월 27일,2018년 03월 19일,아니오,주 1회,3개월,아니요
안원재,MALE,01011655862,31,82,75,165 cm,2018년 01월 02일,2018년 02월 04일,아니오,주 1회,12개월,예
허이준,남,01097289487,35,81,76,174,2018년 01월 26일,2018년 01월 26일,아니오,월 2회,0개월,아니요
조효성,male,unknown,38,82,72,168cm,2018년 02월 16일,2018년 02월 16일,아니오,월 1회,0개월,아니요
정지예,여성,01053196761,30,62kg,57kg,179,2018년 02월 16일,2018년 02월 16일,아니오,안 마심,0개월,예
서소윤,female,01028699443,30세,54,53,164,2018년 01월 12일,2018년 01월 12일,아니오,안 마심,0개월,아니요
신서환,Male,010-9628-6278,44,0,0,174,2018년 01월 16일,2018년 01월 16일,예,주 2회,0개월,아니요
황슬미,여,010-8963-2276,37,61,56,172,2018년 02월 10일,2018년 05월 06일,아니오,주 1회,0개월,아니요
오수현,여성,010-8838-4586,40,58,48,165,2018년 02월 23일,2018년 02월 23일,아니오,주 2회,6개월,아니요
류솔아,female,01025252619,,59,56,168,2018년 01월 20일,2018년 04월 13일,아니오,월 1회,0개월,예
손은찬,남성,010-3535-1796,43,85,82,0,2018년 02월 13일,2018년 02월 13일,아니오,월 2회,3개월,아니요
전설연,female,010-5456-2785,30,59,49,173,2018년 02월 07일,2018년 02월 07일,아니오,주 2회,0개월,아니요
손솔윤,Female,01012483339,34,57,55,172,2018년 02월 13일,2018년 02월 13일,아니오,안 마심,0개월,아니요
양솔희,여,01028542513,41,58,48,173,2018년 02월 25일,2018년 02월 25일,아니오,주 1회,0개월,아니요
백시율,male,01015247895,28,79,70,167,2018년 01월 25일,2018년 01월 25일,예,월 1회,0개월,아니요
권초현,여성,unknown,,65,56,167,2018년 02월 22일,2018년 02월 22일,아니오,월 1회,0개월,아니요
김선후,male,010-4446-4667,,84 kg,75 kg,181,2018년 02월 13일,2018년 03월 07일,아니오,월 2회,0개월,아니요
윤승혁,male,01056813589,37,78,69,177,2018년 02월 27일,2018년 02월 27일,아니오,월 2회,12개월,아니요
조슬민,여성,unknown,27,62,61,163cm,2018년 02월 20일,2018년 05월 01일,예,주 2회,0개월,예
장영준,Male,01048391818,25,79kg,74kg,0,2018년 02월 28일,2018년 05월 14일,아니오,월 2회,0개월,아니요
윤슬희,여성,010-7885-4179,35,61,60,161,2018년 02월 02일,2018년 02월 02일,아니오,월 1회,0개월,아니요
이시윤,남,010-3375-8285,38,0,0,182,2018년 02월 17일,2018년 02월 17일,아니오,월 2회,0개월,아니요
오재빈,남,unknown,32,84,79,176,2018년 01월 30일,2018년 01월 30일,아니오,주 2회,0개월,아니요
